case,nu_prev,s,alpha,closed_form,independent_argmin,abs_error,objective_gap
0,4.129312727835789,3.8396570723944983,1.392650610676218,3.8434879211284754,3.843487921146662,1.8186785410989614e-11,0.0
1,4.158307289941716,1.6519287324451515,117.41327405981478,1.6534267794482354,1.6534267795252735,7.703815363413469e-11,4.440892098500626e-16
2,3.72038609822647,6.133168213440248,0.006659280094449889,4.88097247611298,4.880972476131021,1.8040680060948944e-11,0.0
3,-7.078003627268798,-5.975673877771026,4.9959009842243205,-7.069599878870088,-7.069599880604757,1.7346692970932054e-09,2.5757174171303632e-14
4,7.759691153041951,1.4947038971418927,13.166996514403088,1.5115641680610619,1.5115641729117526,4.850690737967511e-09,0.0
5,-1.6897163045315935,-2.7207243388574653,0.0046255439734250794,-1.6902652460438445,-1.6902652496837933,3.639948786826608e-09,6.328271240363392e-14
6,-6.073644373123239,-6.20324662035431,0.017718580485761685,-6.073649332598325,-6.073649332598325,0.0,0.0
7,4.811036245893728,5.653995270380214,1.8777412886913114,5.651534013457903,5.6515340136839916,2.2608848126992598e-10,0.0
8,-7.7529442525775885,4.382498194071516,10.723497249381067,-1.0014391973397387,-1.0014391960137214,1.3260172959661531e-09,0.0
9,-3.3729300875528345,-4.743293040435777,1.523066507332926,-3.410657979836589,-3.4106579798736876,3.709876850166438e-11,0.0
10,-2.5712075186319883,-7.689467017540403,99.41310506098898,-4.678417111558395,-4.678417115049935,3.491540390143655e-09,4.440892098500626e-16
11,-4.848423921010564,6.047854242227643,129.44443508413204,5.362111730856066,5.36211172707964,3.776426282797729e-09,0.0
12,3.9959437710916728,3.0895903458576157,0.002999646690355502,3.908660630967934,3.908660631000717,3.278266547113162e-11,0.0
13,7.880537442010187,-1.4211393228635423,0.525311287296229,0.7624537331274164,0.7624537334142258,2.868094650665398e-10,2.220446049250313e-16
14,-2.3622861100427794,7.971887071032834,0.035571722835037366,2.279704027427408,2.2797040288446726,1.4172645279586504e-09,2.2737367544323206e-13
15,-7.370754547158773,-3.61514945421154,8.549386734746498,-7.169034674134284,-7.169034674134284,0.0,0.0
16,-2.3329157813305184,-4.614408968403296,3.269790319239005,-2.5765484859486345,-2.576548482138936,3.8096983345781155e-09,0.0
17,-0.315309566494852,7.854781202408406,0.0193309791345419,3.5992878645265463,3.5992878617629276,2.7636186672452823e-09,0.0
18,-2.4683348409022656,-1.6527607761651169,0.3978210021998939,-2.4280571488420035,-2.4280571488420035,0.0,0.0
