mu,sigma,iteration,spmd_squared_error_mean,sgd_squared_error_mean,spmd_objective_gap_mean,sgd_objective_gap_mean
-1.0,0.1,1,0.9865766842350748,0.12903210548187594,0.3636308899828567,0.05733184043908225
-1.0,0.1,10,0.9591874134025291,0.010044106793259016,0.354924564667733,0.004997760373484605
-1.0,0.1,100,0.7322515103523196,0.008393051501749751,0.2806952833500183,0.004246671493142621
-1.0,0.1,500,0.2585720437034515,0.01361149392020534,0.1098967640487035,0.00671936050211629
-1.0,0.1,1000,0.08439212278128982,0.010324226424516796,0.03839018875298747,0.005220902664058972
-1.0,0.1,2000,0.011266898197810467,0.011007721324850391,0.005439219320246198,0.0053918442280312465
-1.0,0.1,3000,0.0017399749882305916,0.00791320882854094,0.0008579674461706242,0.003869361757065478
-1.0,0.3,1,0.9083465090009892,0.13814145718166065,0.33862685355598077,0.060007371566321036
-1.0,0.3,10,0.882517216509507,0.11948198883808248,0.3302767329321121,0.05078500302288125
-1.0,0.3,100,0.6698458623399954,0.11578454222048429,0.2595589915810346,0.05007836165953631
-1.0,0.3,500,0.23200868131972208,0.11529886189150818,0.09942025532826246,0.05239233526471551
-1.0,0.3,1000,0.07348468028430893,0.15237085330730454,0.033634472278741674,0.0698818568856834
-1.0,0.3,2000,0.009196691316955712,0.13309213258082583,0.004453991125596612,0.05460720047617054
-1.0,0.3,3000,0.0012765225441924196,0.08821152354465589,0.0006303925577919034,0.04299466493587146
-1.0,1.0,1,0.2484485603460142,0.6367360138043254,0.1059196498034874,0.15566892070087918
-1.0,1.0,10,0.23907899918560485,2.2434510538428754,0.10221997896793296,0.6425126336757632
-1.0,1.0,100,0.16985567035252117,2.516261055068093,0.07434401208521765,0.696781965951552
-1.0,1.0,500,0.042246063818666996,1.5397978177396592,0.019710566325439702,0.5318664139585702
-1.0,1.0,1000,0.008606805634427115,2.579532126874005,0.004152698830605379,0.7771155946967182
-1.0,1.0,2000,0.001245619590805755,2.9567618791636683,0.0006174728150898159,0.7748222959077699
-1.0,1.0,3000,0.0013343278075937637,1.937364782177085,0.0006625378481323659,0.6413035131142764
-10.0,0.1,1,48.26669222777835,80.91263516782453,5.948384531472767,7.995269099162417
-10.0,0.1,10,22.020584772790265,0.2510633169085149,3.7017723317650706,0.10687416252439208
-10.0,0.1,100,5.930904238362971,0.00887854652019092,1.5229123062888936,0.0044007115704503275
-10.0,0.1,500,1.0020390351455581,0.009097066742612785,0.3685235500495847,0.004506484265839827
-10.0,0.1,1000,0.2612343567002571,0.01387134317946841,0.1109395380459107,0.006707770161355375
-10.0,0.1,2000,0.030365692023300687,0.009646709279357787,0.014337937475554119,0.004840391198377536
-10.0,0.1,3000,0.004411768828778034,0.006619922383118095,0.002157774725022682,0.003276456055139293
-10.0,0.3,1,47.70969748427957,80.1910407699956,5.908221207330621,7.955074142794132
-10.0,0.3,10,21.64674839366149,0.24302172659568716,3.6621432926656996,0.10292229072737588
-10.0,0.3,100,5.744391355164019,0.09175181384522926,1.4877592193385887,0.043489440182848366
-10.0,0.3,500,0.9397838328956527,0.07318369824910018,0.34872430705240165,0.03558008414770905
-10.0,0.3,1000,0.23734290407879038,0.1861135581275044,0.10153429389885413,0.07225452039507035
-10.0,0.3,2000,0.02598647450127773,0.1369977102790384,0.01232128714495312,0.06507153660906256
-10.0,0.3,3000,0.0034462337096088395,0.1540056196193087,0.0016894459848847687,0.06607750825084438
-10.0,1.0,1,41.641371771517115,72.25410297961662,5.454588226097078,7.500444767289703
-10.0,1.0,10,17.648421385392325,0.40575228047358514,3.2159817912200253,0.12851082306323316
-10.0,1.0,100,3.875028214414032,6.147014052686319,1.1081550875811197,1.0268408573510928
-10.0,1.0,500,0.40525961858357884,4.54468046846711,0.16562643297508822,0.9570140234854421
-10.0,1.0,1000,0.06562042577142659,4.666772456818839,0.030147587142938637,0.8612501743948962
-10.0,1.0,2000,0.0030253780935557946,3.058748963366476,0.001474767028684848,0.759732848347449
-10.0,1.0,3000,0.0013668583185699108,5.052093235206334,0.0006768934531967141,0.9738274311682498
