mu,sigma,kappa,nu_star_minus_c0,spmd_to_sgd_bound_proportional_factor
-1.0,0.1,1.0100598847279096,0.4934936407853371,0.6136540519799903
-1.0,0.3,1.0943542110710298,1.40356702536381,0.25741409091524065
-1.0,1.0,2.738052466123889,5.3880503914105855,0.009150892492251482
-10.0,0.1,1.0100444533432311,0.48857932238202295,0.06137981362966112
-10.0,0.3,1.0940408554345673,1.4632407576268438,0.023253360252703713
-10.0,1.0,2.70262955970378,5.246114834458044,0.0005545106558026065
