mu,sigma,T,c0,c1,m,kappa,kappa_gaussian_limit,var_z,nu_star,nu0,alpha_spmd,alpha_spmd_ideal,alpha_spmd_cap,spmd_precondition_holds,alpha_sgd,sgd_precondition_holds,spmd_avg_gap,sgd_avg_gap,spmd_bound,sgd_bound,empirical_ratio,predicted_bound_ratio,nu_spmd_min,nu_spmd_max,nu_star_minus_c0,seed
-1.0,0.25,1000,-2.5,0.5,0.37955718716047776,1.064494446497231,1.0644944589178593,0.009291305904048308,-0.9687500026942233,0.5,0.0538856687381813,0.0538856687381813,0.6065306597126334,True,0.027967799554890194,True,0.012092049593246442,0.02227075616397017,0.08512040979577253,0.07713250969853605,0.5429564000529569,0.14724436903206448,-1.0738501623939907,0.4533145346231134,1.5312499973057767,260202877
-1.0,0.25,4000,-2.5,0.5,0.37955718716047776,1.064494446497231,1.0644944589178593,0.009291305904048308,-0.9687500026942233,0.5,0.02694283436909065,0.02694283436909065,0.6065306597126334,True,0.013983899777445097,True,0.006092646616166068,0.011286021984358957,0.04238546412943093,0.038566254849268025,0.5398400450229256,0.14724436903206448,-1.0439181667266109,0.4762561990436321,1.5312499973057767,260202878
-1.0,0.25,16000,-2.5,0.5,0.37955718716047776,1.064494446497231,1.0644944589178593,0.009291305904048308,-0.9687500026942233,0.5,0.013471417184545325,0.013471417184545325,0.6065306597126334,True,0.006991949888722549,True,0.0030758311063080338,0.005669328005948851,0.02114904687260163,0.019283127424634013,0.5425389222638998,0.14724436903206448,-1.028970244421072,0.48951429902426274,1.5312499973057767,260202879
-1.0,0.25,64000,-2.5,0.5,0.37955718716047776,1.064494446497231,1.0644944589178593,0.009291305904048308,-0.9687500026942233,0.5,0.006735708592272662,0.006735708592272662,0.6065306597126334,True,0.0034959749443612743,True,0.0015387236440792046,0.0028455605575496857,0.010563602138272357,0.009641563712317006,0.540745351560608,0.14724436903206448,-1.0096530320125585,0.49391223707436827,1.5312499973057767,260202880
-1.0,0.5,1000,-4.0,2.0,0.4168620125682817,1.2840250949538694,1.2840254166877414,0.04935615910532967,-0.8750000170565473,2.0,0.023778449128474315,0.023778449128474315,0.1353352832366127,True,0.005299980215121633,True,0.04795596776142932,0.503902017962105,0.31725073742937715,1.5595577271198267,0.0951692314219622,0.015282411865097264,-1.0056482539027556,1.8797476646929263,3.1249999829434527,260202978
-1.0,0.5,4000,-4.0,2.0,0.4168620125682817,1.2840250949538694,1.2840254166877414,0.04935615910532967,-0.8750000170565473,2.0,0.011889224564237157,0.011889224564237157,0.1353352832366127,True,0.0026499901075608167,True,0.024163135925524888,0.2525277893579553,0.15814251467578908,0.7797788635599133,0.09568505702663051,0.015282411865097264,-0.9900916881787807,1.9340975146826982,3.1249999829434527,260202979
-1.0,0.5,16000,-4.0,2.0,0.4168620125682817,1.2840250949538694,1.2840254166877414,0.04935615910532967,-0.8750000170565473,2.0,0.005944612282118579,0.005944612282118579,0.1353352832366127,True,0.0013249950537804083,True,0.012142644851392442,0.12634326508160176,0.07895054382816966,0.38988943177995666,0.09610836670676375,0.015282411865097264,-0.9527759167856129,1.968900321811971,3.1249999829434527,260202980
-1.0,0.5,64000,-4.0,2.0,0.4168620125682817,1.2840250949538694,1.2840254166877414,0.04935615910532967,-0.8750000170565473,2.0,0.0029723061410592893,0.0029723061410592893,0.1353352832366127,True,0.0006624975268902042,True,0.006093998542790781,0.06318590834861586,0.039445093536653604,0.19494471588997833,0.09644553195576994,0.015282411865097264,-0.9315365177823678,1.981729497794503,3.1249999829434527,260202981
-1.0,1.0,1000,-7.0,5.0,0.6065304870456811,2.7181972900921934,2.718281828459045,0.632089099015408,-0.5000002846797175,5.0,0.0047589745816178294,0.0047589745816178294,0.0070557309227022875,True,0.00014105782742050875,True,0.21352631988831317,4.434091663002695,1.353471227030633,214.45107786396304,0.04815559445239718,0.0002733526442106044,-0.5899638337200758,4.489779936647454,6.499999715320283,260203079
-1.0,1.0,4000,-7.0,5.0,0.6065304870456811,2.7181972900921934,2.718281828459045,0.632089099015408,-0.5000002846797175,5.0,0.0027210271942577384,0.0027210271942577384,0.006737946999085467,True,7.052891371025438e-05,True,0.0941679592279124,4.364261803590765,0.5909492642628977,107.22553893198152,0.021577064682607772,0.0002733526442106044,-0.6281534702795858,4.671533478179816,6.499999715320283,260203080
-1.0,1.0,16000,-7.0,5.0,0.6065304870456811,2.7181972900921934,2.718281828459045,0.632089099015408,-0.5000002846797175,5.0,0.0013605135971288692,0.0013605135971288692,0.006737946999085467,True,3.526445685512719e-05,True,0.04731327306526211,4.224751197878446,0.29519312669051423,53.61276946599076,0.011199067317626073,0.0002733526442106044,-0.5927693544485824,4.827540255075,6.499999715320283,260203081
-1.0,1.0,64000,-7.0,5.0,0.6065304870456811,2.7181972900921934,2.718281828459045,0.632089099015408,-0.5000002846797175,5.0,0.0006802567985644346,0.0006802567985644346,0.006737946999085467,True,1.7632228427563594e-05,True,0.023679620405889248,3.946776531529957,0.14752618698502343,26.80638473299538,0.005999736802101108,0.0002733526442106044,-0.5901030968903829,4.90664678629232,6.499999715320283,260203082
