mu,sigma,T,c0,c1,m,kappa,kappa_gaussian_limit,var_z,nu_star,nu0,alpha_spmd,alpha_spmd_ideal,alpha_spmd_cap,spmd_precondition_holds,alpha_sgd,sgd_precondition_holds,spmd_avg_gap,sgd_avg_gap,spmd_bound,sgd_bound,empirical_ratio,predicted_bound_ratio,nu_spmd_min,nu_spmd_max,nu_star_minus_c0,seed
-10.0,0.25,16000,-11.5,-8.5,4.6841078107165715e-05,1.0644944464972312,1.0644944589178593,1.415064007205851e-10,-9.968750002694224,-8.5,109.16002406975187,109.16002406975187,4914.768840299134,True,0.0069919498887225364,True,0.0030728784716972956,0.005672970119570633,0.02114904687260167,0.01928312742463404,0.5416701316822502,0.14724436903206453,-10.026833169253138,-8.51222078732094,1.5312499973057765,260202877
-10.0,0.5,16000,-13.0,-7.0,5.14448593022306e-05,1.2840250949538692,1.2840254166877414,7.51693303450984e-10,-9.875000017056546,-7.0,48.16969223890227,48.16969223890227,1096.6331584284585,True,0.0013249950537804085,True,0.012153636741567834,0.12634884139595437,0.07895054382816963,0.3898894317799567,0.09619112140079338,0.015282411865097253,-9.956223930607749,-7.034198047842584,3.1249999829434536,260202878
-10.0,1.0,16000,-16.0,-4.0,7.485180857890585e-05,2.718197290092193,2.718281828459045,9.626704174858318e-09,-9.500000284679718,-4.0,11.024355862142716,11.024355862142716,54.598150033144236,True,3.5264456855127195e-05,True,0.04736619997867446,4.224752496750838,0.2951931266905142,53.6127694659907,0.011211591688531513,0.0002733526442106046,-9.60574710477766,-4.169270717761043,6.499999715320282,260202879
-10.0,1.5,16000,-19.0,-1.0,0.00013984115373388451,9.47499272748022,9.487735836358526,1.657331294347511e-07,-8.875003395705754,-1.0,1.9369680583298394,1.9369680583298394,4.2115070419484635,True,6.058651036774763e-07,True,0.14810203665461677,6.870539991821987,0.920275286480194,6397.430519800812,0.021556098477107013,5.0876718942103135e-06,-8.97473213177668,-1.5322961911526898,10.124996604294246,260202880
-10.0,2.0,43002,-22.0,2.0,0.000335452004046403,53.359414674812356,54.598150033144236,5.8919026764014075e-06,-8.000031669770202,2.0,0.14159592704121035,0.14159592704121035,0.14467966903544813,True,3.918642695645775e-09,True,0.31269701418729773,8.99999281921175,1.9575807479565566,593442.2053459914,0.03474414040862366,8.315524203366172e-08,-7.934150438571904,1.2874975558273252,13.999968330229798,260202881
-5.0,0.25,16000,-6.5,-3.5,0.006951832377655003,1.0644944464972312,1.0644944589178593,3.1168858952181812e-06,-4.9687500026942235,-3.5,0.7355144566008819,0.7355144566008819,33.11545195869231,True,0.0069919498887225364,True,0.0030658820137558205,0.005673370282142085,0.02114904687260167,0.01928312742463404,0.5403987156287356,0.14724436903206453,-5.025033854678805,-3.5116730800172116,1.5312499973057765,260203854
-5.0,0.5,16000,-8.0,-2.0,0.007635094088631617,1.2840250949538696,1.2840254166877414,1.6557146836648388e-05,-4.875000017056547,-2.0,0.324564833267982,0.324564833267982,7.38905609893065,True,0.0013249950537804083,True,0.012127685049516146,0.12631393345365508,0.07895054382816968,0.38988943177995683,0.09601225073056431,0.015282411865097264,-4.955647068096375,-2.032286470494745,3.1249999829434527,260203855
-5.0,1.0,16000,-11.0,1.0,0.01110899337573676,2.718197290092194,2.718281828459045,0.00021204227022423978,-4.500000284679717,1.0,0.07428152549817472,0.07428152549817472,0.36787944117144233,True,3.526445685512719e-05,True,0.04729297423849536,4.224751329133207,0.29519312669051423,53.612769465990766,0.011194262230860926,0.0002733526442106044,-4.602864118676257,0.8253512439381385,6.499999715320283,260203856
-5.0,1.5,16000,-14.0,4.0,0.020754267398194876,9.474992727480219,9.487735836358526,0.0036505151065608183,-3.8750033957057535,4.0,0.013051188115947944,0.013051188115947944,0.028376911234923974,True,6.058651036774764e-07,True,0.1481895266750732,6.870539999321221,0.9202752864801937,6397.430519800811,0.02156883253568332,5.0876718942103135e-06,-3.96495735785048,3.472468992748377,10.124996604294246,260203857
-5.0,2.0,43002,-17.0,7.0,0.04978549164781698,53.359414674812356,54.598150033144236,0.12977779276808576,-3.0000316697702027,7.0,0.0009540658516900485,0.0009540658516900485,0.000974843941806076,True,3.918642695645775e-09,True,0.31288510346503845,8.999992819219123,1.9575807479565566,593442.2053459914,0.03476503923390748,8.315524203366172e-08,-2.928664522946142,6.287632240633343,13.999968330229798,260203858
-1.0,0.25,16000,-2.5,0.5,0.37955718716047776,1.064494446497231,1.0644944589178593,0.009291305904048308,-0.9687500026942233,0.5,0.013471417184545325,0.013471417184545325,0.6065306597126334,True,0.006991949888722549,True,0.003070192917993928,0.005673789469807729,0.02114904687260163,0.019283127424634013,0.5411185829737827,0.14724436903206448,-1.024963592528832,0.48765886971231626,1.5312499973057767,260204831
-1.0,0.5,16000,-4.0,2.0,0.4168620125682817,1.2840250949538694,1.2840254166877414,0.04935615910532967,-0.8750000170565473,2.0,0.005944612282118579,0.005944612282118579,0.1353352832366127,True,0.0013249950537804083,True,0.012136093045380584,0.12631459366839823,0.07895054382816966,0.38988943177995666,0.09607831282931822,0.015282411865097264,-0.9674084286358243,1.9642820863197743,3.1249999829434527,260204832
-1.0,1.0,16000,-7.0,5.0,0.6065304870456811,2.7181972900921934,2.718281828459045,0.632089099015408,-0.5000002846797175,5.0,0.0013605135971288692,0.0013605135971288692,0.006737946999085467,True,3.526445685512719e-05,True,0.0472773998595905,4.224752486976368,0.29519312669051423,53.61276946599076,0.01119057270345006,0.0002733526442106044,-0.5916576828733472,4.822411901127138,6.499999715320283,260204833
-1.0,1.5,16000,-10.0,8.0,1.133144605234638,9.474992727480222,9.487735836358526,10.882032163718959,0.12499660429424665,8.0,0.00023904084860064154,0.00023904084860064154,0.0005197412589565312,True,6.058651036774763e-07,True,0.14801086972737662,6.870539994699313,0.920275286480194,6397.430519800812,0.021542829215981336,5.087671894210314e-06,0.055562852813510706,7.46608852479398,10.124996604294246,260204834
-1.0,2.0,43002,-13.0,11.0,2.7181957424613605,53.359414674812356,54.598150033144236,386.8621478926714,0.9999683302297971,11.0,1.747432561562755e-05,1.747432561562755e-05,1.7854889610990283e-05,True,3.918642695645776e-09,True,0.31346633812959956,8.999992819220724,1.957580747956557,593442.2053459907,0.0348296209148244,8.315524203366185e-08,1.058722822419092,10.284960247605488,13.999968330229796,260204835
0.0,0.25,16000,-1.5,1.5,1.0317434047193554,1.0644944464972312,1.0644944589178593,0.06865398055733873,0.031249997305776597,1.5,0.004955857425637891,0.004955857425637891,0.22313016014842982,True,0.006991949888722538,True,0.003075338956377666,0.0056696982228063115,0.02114904687260167,0.01928312742463404,0.5424166923042115,0.14724436903206453,-0.02652098574401883,1.4875902906786018,1.5312499973057765,260205808
