mu,sigma,sample_size,trajectories,iterations,sample_mean_z,sample_kappa,analytic_gaussian_kappa,kappa_relative_error,nu_star,c0,c1,spmd_log_alpha,sgd_alpha,tail_spmd_squared_error_mean,tail_sgd_squared_error_mean,tail_error_ratio_mean,tail_error_ratio_ci95,spmd_better_fraction
-1.0,0.1,1000000,64,3000,0.36978125828737424,1.0100598847279096,1.010050167084168,9.620951570895078e-06,-0.9948436419857462,-1.4883372827710832,0.0,-6.0,1.0,0.0097359193465463,0.010292535349350252,0.9473053794195174,"[0.8738889027066218, 1.036155416258265]",0.875
-1.0,0.3,1000000,64,3000,0.38497892881219614,1.0943542110710298,1.0941742837052104,0.00016444123070605315,-0.9545666765500456,-2.3581337019138555,0.5009314000686479,-6.0,1.0,0.007997106375653127,0.10752640338610751,0.07458280983921027,"[0.059620634382835345, 0.09311392179420228]",1.0
-1.0,1.0,1000000,64,3000,0.6068336511396318,2.738052466123889,2.718281828459045,0.007273211135745837,-0.4995005763222369,-5.887550967732823,3.9658844643954687,-6.0,1.0,0.001408464450611319,2.2505703366065246,0.0006290804428955331,"[0.00014408495917038035, 0.0016594390152512295]",1.0
-10.0,0.1,1000000,64,3000,4.5622948630678816e-05,1.0100444533432311,1.010050167084168,5.6568882645945474e-06,-9.995099708591786,-10.483679030973809,0.0,3.0,1.0,0.026468586308101852,0.010196110588014897,2.6002841196839235,"[2.378773633356547, 2.789387143733902]",0.0
-10.0,0.3,1000000,64,3000,4.74943497834815e-05,1.0940408554345673,1.0941742837052104,0.00012194425753754776,-9.954899805925725,-11.41814056355257,0.0,3.0,1.0,0.022774781381749373,0.11393796217966982,0.20064526034721153,"[0.17171034095296311, 0.2312327163365453]",1.0
-10.0,1.0,1000000,64,3000,7.483910135169131e-05,2.70262955970378,2.718281828459045,0.00575814788275209,-9.500170064224125,-14.74628489868217,0.0,3.0,1.0,0.003477494800581113,5.607966614237803,0.0006252635207594141,"[0.00020125978860969257, 0.0016599249155907893]",1.0
