horizon,seed,objective,optimum,gap,alpha_t,eta_t,step_condition_margin_rho_1
512,90210,-0.131531952560248,-0.21800214960463773,0.08647019704438974,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90211,-0.13169267867333154,-0.21800214960463773,0.0863094709313062,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90212,-0.1316505725090032,-0.21800214960463773,0.08635157709563454,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90213,-0.1318911383165222,-0.21800214960463773,0.08611101128811555,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90214,-0.13135637173216078,-0.21800214960463773,0.08664577787247696,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90215,-0.1311355362837057,-0.21800214960463773,0.08686661332093204,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90216,-0.13089648755758157,-0.21800214960463773,0.08710566204705616,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90217,-0.1303527733979568,-0.21800214960463773,0.08764937620668092,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90218,-0.13109994375336395,-0.21800214960463773,0.08690220585127378,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90219,-0.131747623316945,-0.21800214960463773,0.08625452628769273,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90220,-0.13064261229364607,-0.21800214960463773,0.08735953731099166,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90221,-0.13113991675822675,-0.21800214960463773,0.08686223284641098,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90222,-0.1312262060567915,-0.21800214960463773,0.08677594354784623,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90223,-0.13180308935074658,-0.21800214960463773,0.08619906025389115,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90224,-0.13150077447987127,-0.21800214960463773,0.08650137512476647,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90225,-0.13147782327446647,-0.21800214960463773,0.08652432633017126,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90226,-0.1311254109314973,-0.21800214960463773,0.08687673867314044,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90227,-0.13112885319068432,-0.21800214960463773,0.08687329641395342,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90228,-0.13069400405827988,-0.21800214960463773,0.08730814554635785,0.022097086912079608,0.08838834764831843,0.29336894763438714
512,90229,-0.1312674844681405,-0.21800214960463773,0.08673466513649725,0.022097086912079608,0.08838834764831843,0.29336894763438714
2048,90210,-0.16861731501712632,-0.21800214960463773,0.04938483458751142,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90211,-0.16858951258232724,-0.21800214960463773,0.049412637022310496,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90212,-0.1687818924015009,-0.21800214960463773,0.04922025720313683,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90213,-0.1686937802792449,-0.21800214960463773,0.04930836932539284,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90214,-0.16849993411075168,-0.21800214960463773,0.04950221549388606,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90215,-0.16862758283161158,-0.21800214960463773,0.04937456677302615,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90216,-0.16877170380973028,-0.21800214960463773,0.04923044579490746,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90217,-0.16891602664861774,-0.21800214960463773,0.049086122956019995,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90218,-0.1686090539439323,-0.21800214960463773,0.04939309566070543,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90219,-0.16882248071288306,-0.21800214960463773,0.04917966889175468,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90220,-0.16868194968066494,-0.21800214960463773,0.049320199923972796,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90221,-0.16860253993139684,-0.21800214960463773,0.04939960967324089,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90222,-0.16867062781598122,-0.21800214960463773,0.04933152178865652,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90223,-0.16871559689545998,-0.21800214960463773,0.049286552709177756,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90224,-0.16893632767145084,-0.21800214960463773,0.0490658219331869,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90225,-0.16888706593519665,-0.21800214960463773,0.04911508366944109,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90226,-0.16879387026450832,-0.21800214960463773,0.04920827934012942,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90227,-0.1689891135404941,-0.21800214960463773,0.049013036064143645,0.011048543456039804,0.044194173824159216,0.304417491090427
2048,90228,-0.16855879037764154,-0.21800214960463773,0.04944335922699619,0.011048543456039804,0.044194173824159216,0.304417491090427
